,ResponseId,Employment,EdLevel,YearsCodePro,WorkExp,Age,Gender,OrgSize,Country,Salary
0,13,"Employed, full-time",0,2.23606797749979,2.23606797749979,1,0,3,130,11.082142548877775
1,22,"Employed, full-time",1,2.0,2.0,1,0,3,56,10.43781483608721
2,23,"Employed, full-time",3,4.47213595499958,4.795831523312719,2,0,4,20,11.488684000597194
3,26,"Employed, full-time",1,3.0,3.0,1,0,3,41,11.414728121316559
4,52,"Employed, full-time",0,1.7320508075688772,1.7320508075688772,1,0,3,95,10.56761778402558
5,54,"Employed, full-time",0,3.1622776601683795,3.4641016151377544,1,0,4,130,12.043553716032399
6,55,"Employed, full-time",0,2.6457513110645907,2.6457513110645907,1,0,3,86,11.549305609062978
7,56,"Employed, full-time",1,2.23606797749979,2.23606797749979,1,2,4,130,11.856515169360305
8,58,"Employed, full-time",0,2.8284271247461903,2.8284271247461903,1,0,3,81,10.751585093093896
9,61,"Employed, full-time",0,2.0,2.0,1,0,3,20,11.103030559782677
10,70,"Employed, full-time",3,3.872983346207417,3.872983346207417,2,0,3,131,10.566381689925052
11,77,"Employed, full-time",1,4.47213595499958,5.196152422706632,2,0,2,130,11.982929094215963
12,84,"Employed, full-time",3,4.47213595499958,4.69041575982343,2,0,4,131,11.918390573078392
13,88,"Employed, full-time",0,2.8284271247461903,3.0,1,0,4,111,11.471884696520702
14,92,"Employed, full-time",1,4.358898943540674,4.358898943540674,2,0,4,39,11.066419588412538
15,103,"Employed, full-time",0,2.0,2.0,1,1,3,128,10.773587738303867
16,110,"Employed, full-time",3,2.8284271247461903,2.8284271247461903,1,0,3,111,10.709740179201345
17,115,"Employed, full-time",3,3.4641016151377544,3.4641016151377544,2,0,1,131,10.198691266386755
18,122,"Employed, full-time",1,2.0,2.23606797749979,1,2,3,114,11.31046650484885
19,127,"Employed, full-time",0,2.23606797749979,2.23606797749979,1,0,1,20,11.265540449282984
20,152,"Employed, full-time",0,3.4641016151377544,3.4641016151377544,1,0,1,50,9.647304147143718
21,155,"Employed, full-time",0,2.6457513110645907,2.6457513110645907,1,0,2,128,11.146459891711073
22,165,"Employed, full-time",0,3.872983346207417,3.872983346207417,2,0,3,130,11.820410164718188
23,189,"Employed, full-time",3,3.1622776601683795,3.1622776601683795,2,0,3,128,11.146459891711073
24,192,"Employed, full-time",1,1.4142135623730951,1.4142135623730951,1,0,2,43,12.789181720881182
25,193,"Employed, full-time",0,1.7320508075688772,1.7320508075688772,0,0,3,130,11.608235644774552
26,194,"Employed, full-time",3,1.0,1.0,0,0,4,130,11.156250521031495
27,197,"Employed, full-time",0,2.23606797749979,2.23606797749979,1,0,3,50,10.968836017171531
28,213,"Employed, full-time",0,0.7071067811865476,1.0,0,0,2,128,10.227055456677219
29,219,"Employed, full-time",1,3.872983346207417,3.872983346207417,2,0,4,39,11.354105567961366
30,223,"Employed, full-time",0,3.7416573867739413,3.7416573867739413,2,0,4,130,11.898187865760873
31,229,"Employed, full-time",3,3.0,4.123105625617661,2,0,2,130,11.695247021764184
32,248,"Employed, full-time",0,4.69041575982343,5.196152422706632,2,0,2,130,12.429216196844383
33,278,"Employed, full-time",0,3.4641016151377544,3.4641016151377544,1,0,3,81,11.449410419902296
34,279,"Employed, full-time",0,1.4142135623730951,1.4142135623730951,1,0,4,130,11.112447898373103
35,300,"Employed, full-time",0,2.8284271247461903,3.1622776601683795,1,0,4,130,11.55214617812351
36,308,"Employed, full-time",0,3.1622776601683795,5.0,2,0,2,130,12.235631447771718
37,309,"Employed, full-time",0,2.23606797749979,2.23606797749979,1,0,4,130,11.146459891711073
38,319,"Employed, full-time",3,2.23606797749979,2.23606797749979,1,0,3,64,10.555604383538082
39,326,"Employed, full-time",0,2.0,2.0,1,0,2,128,11.230350329886592
40,338,"Employed, full-time",0,1.0,1.0,0,0,4,130,11.289781913656018
41,347,"Employed, full-time",3,1.0,1.0,0,0,2,41,10.709740179201345
42,348,"Employed, full-time",1,0.7071067811865476,1.0,1,0,2,130,11.512925464970229
43,349,"Employed, full-time",0,2.6457513110645907,2.449489742783178,1,0,3,130,11.225243392518447
44,359,"Employed, full-time",0,1.7320508075688772,1.7320508075688772,1,0,2,119,10.734198609318932
45,361,"Employed, full-time",0,2.23606797749979,2.23606797749979,1,0,1,23,11.234322056451651
46,362,"Employed, full-time",0,3.3166247903554,3.3166247903554,1,0,3,130,11.918390573078392
47,374,"Employed, full-time",0,4.358898943540674,4.358898943540674,1,0,3,16,11.222359237338585
48,382,"Employed, full-time",0,3.872983346207417,4.47213595499958,4,2,2,130,11.472103470449973
49,386,"Employed, full-time",0,4.69041575982343,4.795831523312719,2,0,2,130,11.982929094215963
50,388,"Employed, full-time",0,3.0,3.0,1,0,1,130,11.728036844587175
51,389,"Employed, full-time",1,3.4641016151377544,3.4641016151377544,1,0,3,128,11.741167994372262
52,392,"Employed, full-time",0,4.47213595499958,4.47213595499958,2,0,3,130,12.230765258120545
53,394,"Employed, full-time",0,2.449489742783178,2.6457513110645907,1,0,3,81,10.903825271935897
54,403,"Employed, full-time",0,2.0,2.0,1,0,2,55,11.619121631374691
55,406,"Employed, full-time",0,2.8284271247461903,2.8284271247461903,1,0,3,130,11.652687407345388
56,407,"Employed, full-time",3,2.8284271247461903,3.0,0,0,4,130,12.206072645530174
57,433,"Employed, full-time",0,1.7320508075688772,3.0,1,2,1,130,11.475223597786217
58,440,"Employed, full-time",0,3.4641016151377544,3.4641016151377544,1,0,1,128,11.74516353549071
